Cod_Divipola_Mun,descrip_poblac_suministro,Pobl_2024,Dep
11001,BOGOTA, D.C.,7929539,Bogotá, D.C.
68001,BUCARAMANGA,619703,Santander
25175,CHIA,163306,Cundinamarca
68307,GIRON,175720,Santander
68081,BARRANCABERMEJA,216326,Santander
20400,LA JAGUA DE IBIRIC,54368,Cesar
25754,SOACHA,806253,Cundinamarca
25899,ZIPAQUIRA,160629,Cundinamarca
68547,PIEDECUESTA,192193,Santander
15238,DUITAMA,132894,Boyacá
15759,SOGAMOSO,137759,Boyacá
25473,MOSQUERA,155479,Cundinamarca
20710,SAN ALBERTO,30644,Cesar
15001,TUNJA,187286,Boyacá
15176,CHIQUINQUIRA,60737,Boyacá
25430,MADRID,139005,Cundinamarca
25126,CAJICA,101582,Cundinamarca
25286,FUNZA,115217,Cundinamarca
13670,SAN PABLO,29770,Bolívar
20011,AGUACHICA,128425,Cesar
68271,FLORIAN,6084,Santander
20550,PELAYA,24170,Cesar
20517,PAILITAS,21642,Cesar
20228,CURUMANI,43557,Cesar
25269,FACATATIVA,171926,Cundinamarca
15491,NOBSA,17334,Boyacá
25486,NEMOCON,16093,Cundinamarca
25817,TOCANCIPA,48318,Cundinamarca
15087,BELEN,7987,Boyacá
25758,SOPO,31775,Cundinamarca
15646,SAMACA,19850,Boyacá
15516,PAIPA,36429,Boyacá
25295,GACHANCIPA,20749,Cundinamarca
68276,FLORIDABLANCA,339490,Santander
15693,S. ROSA DE VITERBO,14128,Boyacá
47245,EL BANCO,74147,Magdalena
25386,LA MESA,40004,Cundinamarca
25785,TABIO,26505,Cundinamarca
25260,EL ROSAL,26052,Cundinamarca
68575,PUERTO WILCHES,35915,Santander
25035,ANAPOIMA,17713,Cundinamarca
13160,CANTAGALLO,9101,Bolívar
68655,S DE TORRES,34946,Santander
25214,COTA,40316,Cundinamarca
25878,VIOTA,15739,Cundinamarca
25099,BOJACA,12189,Cundinamarca
20178,CHIRIGUANA,32291,Cesar
68406,LEBRIJA,46053,Santander
15696,SANTA SOFIA,3398,Boyacá
25799,TENJO,26834,Cundinamarca
15638,SACHICA,5933,Boyacá
20383,LA GLORIA,19962,Cesar
#N/D,CASACARA,#N/D,#N/D
20045,BECERRIL,25208,Cesar
20013,AGUSTIN CODAZZI,70929,Cesar
25377,LA CALERA,36473,Cundinamarca
25200,COGUA,26870,Cundinamarca
25245,EL COLEGIO,29077,Cundinamarca
25843,UBATE,52218,Cundinamarca
15759,PTE.SOGAMOSO,137759,Boyacá
25740,SIBATE,41054,Cundinamarca
15500,OICATA,3047,Boyacá
20750,SAN DIEGO,22067,Cesar
08634,SABANAGRANDE,36300,Atlántico
05240,EL PEDRAL,12820,Antioquia
15407,VILLA DE LEYVA,17627,Boyacá
20295,GAMARRA,17452,Cesar
68081,EL LLANITO,3943,Santander
15837,TUTA,8915,Boyacá
05893,YONDO,20727,Antioquia
#N/D,RINCON HONDO,4080,Cesar
15204,COMBITA,14040,Boyacá
15808,TINJACA,3537,Boyacá
15806,TIBASOSA,14063,Boyacá
#N/D,B-MANGA VEREDAL,#N/D,#N/D
20770,SAN MARTIN,31062,Cesar
25224,CUCUNUBA,9187,Cundinamarca
18029,ALBANIA,4794,Caquetá
68377,LA BELLEZA,6684,Santander
25781,SUTATAUSA,7163,Cundinamarca
#N/D,NAZARETH,#N/D,#N/D
25745,SIMIJACA,15634,Cundinamarca
15162,CERINZA,3945,Boyacá
25769,SUBACHOQUE,18064,Cundinamarca
05670,SAN ROQUE,22966,Antioquia
15600,RAQUIRA,8518,Boyacá
#N/D,LAS PALMITAS,#N/D,#N/D
25898,ZIPACON,5615,Cundinamarca
15276,FLORESTA,3461,Boyacá
20787,TAMALAMEQUE,17792,Cesar
#N/D,GUATANCUY-RURAL,#N/D,#N/D
15776,SUTAMARCHAN,6587,Boyacá
#N/D,BRICENO,#N/D,#N/D
